positive,comparative
great,greater
tough,tougher
small,smaller
fast,faster
big,bigger
cold,colder
warm,warmer
young,younger
old,older
strong,stronger
bright,brighter
dark,darker
high,higher
low,lower
loud,louder
soft,softer
tall,taller
short,shorter
rich,richer
poor,poorer
clean,cleaner
dirty,dirtier
happy,happier
sad,sadder
easy,easier
hard,harder
light,lighter
heavy,heavier
cheap,cheaper
close,closer
far,farther
nice,nicer
mean,meaner
kind,kinder
rude,ruder
hot,hotter
cool,cooler
dry,drier
wet,wetter
thin,thinner
thick,thicker
sharp,sharper
dull,duller
sweet,sweeter
deep,deeper
shallow,shallower
slow,slower
quick,quicker
quiet,quieter
noisy,noisier
safe,safer
simple,simpler
lazy,lazier
busy,busier
calm,calmer
angry,angrier
wide,wider
narrow,narrower
funny,funnier
gentle,gentler
rough,rougher
clever,cleverer
dumb,dumber
wise,wiser
silly,sillier
early,earlier
late,later
fresh,fresher
stale,staler
fit,fitter
weak,weaker
firm,firmer
loose,looser
thirsty,thirstier
hungry,hungrier
fat,fatter
skinny,skinnier
curly,curlier
straight,straighter
sharp,sharper
blunt,blunter
moist,moister
proud,prouder
brave,braver
friendly,friendlier
angry,angrier
shy,shyer
bold,bolder
strong,stronger
weak,weaker