country,currency
Angola,kwanza
Iran,rial
United States,dollar
Canada,Canadian dollar
Australia,Australian dollar
New Zealand,New Zealand dollar
United Kingdom,pound sterling
Japan,yen
China,yuan
India,rupee
Pakistan,rupee
Sri Lanka,rupee
Nepal,rupee
Bangladesh,taka
Russia,ruble
South Africa,rand
Mexico,peso
Argentina,peso
Colombia,peso
Chile,peso
Philippines,peso
Brazil,real
Egypt,pound
Sudan,pound
Syria,pound
Lebanon,pound
Iraq,dinar
Jordan,dinar
Kuwait,dinar
Bahrain,dinar
Algeria,dinar
Tunisia,dinar
Libya,dinar
Turkey,lira
Israel,shekel
South Korea,won
North Korea,won
Vietnam,dong
Thailand,baht
Malaysia,ringgit
Indonesia,rupiah
Singapore,Singapore dollar
Brunei,Brunei dollar
Switzerland,Swiss franc
Czech Republic,koruna
Sweden,krona
Norway,krone
Denmark,krone
Iceland,krona
Poland,zloty
Hungary,forint
Romania,leu
Bulgaria,lev
Ukraine,hryvnia
Georgia,lari
Kazakhstan,tenge
Uzbekistan,som
Mongolia,tugrik
Cambodia,riel
Laos,kip
Myanmar,kyat